iter	Passed	Remaining
0	400	400007
1	403	201273
2	405	134922
3	409	101896
4	411	81966
5	414	68725
6	418	59298
7	420	52185
8	423	46673
9	426	42247
10	429	38594
11	431	35546
12	434	32969
13	436	30754
14	439	28871
15	442	27228
16	447	25870
17	451	24629
18	455	23508
19	458	22443
20	461	21524
21	465	20675
22	469	19954
23	473	19258
24	477	18606
25	479	17966
26	482	17380
27	485	16859
28	489	16392
29	494	15989
30	497	15565
31	500	15153
32	503	14751
33	506	14395
34	509	14055
35	514	13765
36	518	13482
37	521	13209
38	524	12917
39	527	12657
40	530	12405
41	534	12185
42	539	11997
43	542	11788
44	545	11574
45	548	11374
46	552	11201
47	556	11037
48	561	10891
49	566	10763
50	569	10594
51	573	10453
52	577	10313
53	580	10166
54	583	10026
55	586	9893
56	591	9791
57	598	9714
58	601	9594
59	605	9487
60	609	9388
61	613	9281
62	615	9151
63	618	9052
64	622	8950
65	623	8828
66	627	8741
67	631	8657
68	634	8567
69	637	8470
70	640	8374
71	642	8278
72	645	8192
73	648	8112
74	651	8037
75	655	7967
76	659	7903
77	662	7833
78	665	7757
79	669	7697
80	672	7629
81	676	7574
82	680	7520
83	683	7458
84	686	7392
85	689	7326
86	692	7271
87	696	7219
88	700	7171
89	704	7121
90	707	7067
91	710	7008
92	713	6958
93	718	6920
94	722	6884
95	726	6842
96	730	6801
97	733	6754
98	736	6706
99	738	6644
100	741	6597
101	744	6552
102	747	6512
103	750	6465
104	753	6422
105	755	6374
106	758	6327
107	760	6281
108	763	6241
109	765	6197
110	768	6153
111	770	6110
112	773	6068
113	776	6032
114	778	5993
115	781	5953
116	783	5912
117	785	5869
118	787	5830
119	789	5792
120	792	5757
121	795	5722
122	797	5686
123	799	5650
124	802	5615
125	804	5579
126	806	5545
127	809	5512
128	811	5479
129	813	5446
130	816	5413
131	818	5380
132	820	5349
133	823	5319
134	825	5288
135	827	5258
136	830	5229
137	832	5199
138	834	5170
139	837	5142
140	839	5114
141	841	5086
142	844	5059
143	846	5032
144	849	5006
145	851	4982
146	854	4959
147	857	4936
148	860	4915
149	863	4892
150	865	4868
151	868	4844
152	870	4820
153	871	4789
154	874	4765
155	876	4741
156	878	4718
157	882	4700
158	885	4682
159	888	4662
160	890	4643
161	893	4623
162	902	4632
163	906	4618
164	908	4598
165	910	4576
166	913	4558
167	916	4538
168	918	4517
169	921	4496
170	923	4476
171	925	4457
172	928	4437
173	930	4417
174	932	4397
175	935	4377
176	937	4359
177	939	4340
178	942	4323
179	945	4307
180	948	4289
181	950	4271
182	954	4262
183	958	4252
184	962	4241
185	968	4237
186	972	4228
187	976	4218
188	981	4209
189	985	4200
190	990	4193
191	994	4184
192	1008	4218
193	1020	4238
194	1028	4244
195	1032	4234
196	1035	4219
197	1039	4211
198	1047	4215
199	1053	4212
200	1058	4207
201	1062	4198
202	1067	4192
203	1073	4189
204	1077	4179
205	1080	4165
206	1084	4154
207	1087	4140
208	1090	4126
209	1094	4116
210	1097	4102
211	1100	4089
212	1103	4076
213	1106	4063
214	1109	4050
215	1112	4038
216	1115	4026
217	1118	4013
218	1121	4000
219	1124	3987
220	1127	3975
221	1132	3967
222	1136	3961
223	1140	3951
224	1143	3939
225	1147	3930
226	1150	3918
227	1154	3908
228	1157	3896
229	1160	3883
230	1163	3871
231	1166	3862
232	1169	3851
233	1172	3839
234	1175	3828
235	1179	3816
236	1182	3806
237	1185	3795
238	1188	3784
239	1191	3772
240	1194	3761
241	1197	3749
242	1200	3741
243	1204	3730
244	1207	3719
245	1209	3708
246	1212	3697
247	1217	3693
248	1221	3682
249	1224	3674
250	1228	3666
251	1232	3659
252	1239	3659
253	1242	3648
254	1246	3641
255	1249	3631
256	1252	3620
257	1255	3609
258	1258	3599
259	1261	3589
260	1264	3579
261	1267	3569
262	1270	3559
263	1273	3550
264	1276	3541
265	1279	3530
266	1281	3518
267	1284	3508
268	1287	3499
269	1290	3490
270	1293	3479
271	1296	3470
272	1299	3460
273	1302	3450
274	1305	3441
275	1309	3434
276	1312	3424
277	1315	3415
278	1318	3406
279	1321	3397
280	1324	3389
281	1328	3381
